hbid_id,hbid_id_ds,basin_name,hbid_name,catchment,catchment_,area_km2,country,brazil_UF,basin_ID
5190,5186,Amazon,Branco 2,c5190,c5186,14002.654556021376,Brazil,RR,Negro
5192,5190,Amazon,Branco 3,c5192,c5190,9489.341239293499,Brazil,RR,Negro
5200,5199,Amazon,Araca,c5200,c5199,16657.109013268942,Brazil,AM,Negro
5203,5201,Amazon,Padauari,c5203,c5201,17306.35943118814,Brazil,AM,Negro
5204,5201,Amazon,Cauaburi,c5204,c5201,12085.099229830492,Brazil,AM,Negro
5213,5212,Amazon,Pasimoni,c5213,c5212,10342.368999844668,Venezuela,AM,Negro
5205,5201,Amazon,Negro 4,c5205,c5201,26650.95423117422,Brazil,AM,Negro
5207,5205,Amazon,Curicuriari,c5207,c5205,14138.29437897744,Brazil,AM,Negro
5208,5205,Amazon,Uaupes 1,c5208,c5205,7539.139800815117,Brazil,AM,Negro
5171,5163,Amazon,Purus 3,c5171,c5163,39040.72158786711,Brazil,AM,Purus
5169,5168,Amazon,Pinhua,c5169,c5168,9275.984706769594,Brazil,AM,Purus
5173,5171,Amazon,Inauini,c5173,c5171,13427.765152542781,Brazil,AM,Purus
5176,5175,Amazon,Chandless,c5176,c5175,10228.250496333925,Brazil,AC,Purus
5048,5047,Amazon,Teles Pires 1,c5048,c5047,20734.469303225218,Brazil,PA,Tapajos
5052,5051,Amazon,Sao Joao da Barra,c5052,c5051,9333.031031635417,Brazil,MT,Tapajos
5058,5057,Amazon,Peixes,c5058,c5057,14573.461888118156,Brazil,MT,Tapajos
5043,5041,Amazon,Jamanxim 2,c5043,c5041,16071.35813132093,Brazil,PA,Tapajos
5046,5045,Amazon,Tropas,c5046,c5045,13484.18709530311,Brazil,PA,Tapajos
5049,5048,Amazon,Apiaca,c5049,c5048,16026.00450241047,Brazil,MT,Tapajos
5063,5062,Amazon,Verde,c5063,c5062,13404.362786100251,Brazil,MT,Tapajos
5065,5047,Amazon,Cururu,c5065,c5047,9719.257698374657,Brazil,PA,Tapajos
6009,6007,Tocantins,Araguaia 3,c6009,c6007,19246.45442613043,Brazil,GO,Tocantins
6017,6016,Tocantins,Pindaiba,c6017,c6016,10011.560855788635,Brazil,MT,Tocantins
6021,6007,Tocantins,Braco Menor do Rio Araguaia 1,c6021,c6007,13293.133490542526,Brazil,TO,Tocantins
6029,6027,Tocantins,Tocantins 3,c6029,c6027,57944.37202429101,Brazil,TO,Tocantins
6022,6021,Tocantins,Formoso,c6022,c6021,21523.110772403208,Brazil,TO,Tocantins
6032,6029,Tocantins,Santa Teresa,c6032,c6029,14619.947334705666,Brazil,GO,Tocantins
6038,6029,Tocantins,Tocantins 4,c6038,c6029,20630.276982719875,Brazil,GO,Tocantins
6023,6021,Tocantins,Braco Menor do Rio Araguaia 2,c6023,c6021,17734.67918517043,Brazil,TO,Tocantins
6015,6009,Tocantins,Cristalino,c6015,c6009,11760.22170548417,Brazil,MT,Tocantins
6024,6004,Tocantins,Itacaiunas 1,c6024,c6004,12612.24343675238,Brazil,PA,Tocantins
6034,6029,Tocantins,Sono 1,c6034,c6029,5108.262402109078,Brazil,TO,Tocantins
6035,6034,Tocantins,Balsas,c6035,c6034,12360.398398572584,Brazil,TO,Tocantins
5070,5066,Amazon,Itapi,c5070,c5066,12781.186726272987,Brazil,PA,Trombetas
5271,5270,Amazon,Tambo,c5271,c5270,4522.2677793458315,Peru,,Ucayali
5273,5271,Amazon,Ene,c5273,c5271,9407.96851644123,Peru,,Ucayali
5023,5019,Amazon,Xingu 6,c5023,c5019,4244.758120857614,Brazil,MT,Xingu
5027,5023,Amazon,Culuene 1,c5027,c5023,3614.744952786522,Brazil,MT,Xingu
5007,5004,Amazon,Xingu 2,c5007,c5004,10124.842153753565,Brazil,PA,Xingu
5010,5008,Amazon,Iriri 2,c5010,c5008,43267.36979364797,Brazil,PA,Xingu
5015,5014,Amazon,Riozinho,c5015,c5014,8678.511388794568,Brazil,PA,Xingu
5021,5019,Amazon,Arraias,c5021,c5019,9495.014880987486,Brazil,MT,Xingu
5224,5222,Amazon,Miriti Parana,c5224,c5222,8780.263718406006,Colombia,,Caqueta_Japura
5226,5225,Amazon,Mesay,c5226,c5225,14169.998407756935,Colombia,,Caqueta_Japura
5225,5222,Amazon,Yari,c5225,c5222,22480.496748302452,Colombia,,Caqueta_Japura
4003,-999,"Northeast South America, South Atlantic Coast",Waini,c4003,outlet,9375.465572311794,Guyana,,AMZ_OTCA
4005,-999,"Northeast South America, South Atlantic Coast",Essequibo 1,c4005,outlet,23187.59401681182,Guyana,,AMZ_OTCA
4012,4005,"Northeast South America, South Atlantic Coast",Essequibo 2,c4012,c4005,22578.208599961632,Guyana,PA,AMZ_OTCA
4037,4036,"Northeast South America, South Atlantic Coast",Amapari,c4037,c4036,15024.11287769662,Brazil,AP,AMZ_OTCA
5024,5023,Amazon,Tamitatoala,c5024,c5023,6731.499014896532,Brazil,MT,Xingu
5026,5024,Amazon,Ferro,c5026,c5024,11864.50812014088,Brazil,MT,Xingu
5030,5003,Amazon,Amazon 1,c5030,c5003,26183.968213404267,Brazil,PA,Main_AMZ
5039,5030,Amazon,Amazon 2,c5039,c5030,10893.515494050785,Brazil,PA,Main_AMZ
5040,5039,Amazon,Tapajos 1,c5040,c5039,27125.43463015615,Brazil,PA,Tapajos
5047,5045,Amazon,Tapajos 3,c5047,c5045,23652.423607846373,Brazil,PA,Tapajos
5060,5048,Amazon,Teles Pires 2,c5060,c5048,19387.237814520562,Brazil,MT,Tapajos
5009,5008,Amazon,Curua,c5009,c5008,36953.676234356084,Brazil,PA,Xingu
5061,5060,Amazon,Peixoto de Azevido,c5061,c5060,19432.59052212657,Brazil,MT,Tapajos
5028,5027,Amazon,Coliseu,c5028,c5027,11666.27388234894,Brazil,MT,Xingu
5064,5062,Amazon,Teles Pires 4,c5064,c5062,20950.513292635605,Brazil,MT,Xingu
5057,5053,Amazon,Arinos,c5057,c5053,44318.78051845411,Brazil,MT,Tapajos
5068,5066,Amazon,Paru de Oeste,c5068,c5066,41972.21382664451,Brazil,PA,Trombetas
5066,5039,Amazon,Trombetas 1,c5066,c5039,8101.555671851337,Brazil,PA,Trombetas
5054,5053,Amazon,Camarare,c5054,c5053,10980.588281655146,Brazil,MT,Tapajos
5086,5080,Amazon,Aripuana 2,c5086,c5080,53772.54374246268,Brazil,MT,Madeira
5087,5077,Amazon,Madeira 2,c5087,c5077,22787.588505522366,Brazil,AM,Madeira
5055,5053,Amazon,Saueruina,c5055,c5053,22299.31350920782,Brazil,MT,Tapajos
5108,5106,Amazon,Guapore 3,c5108,c5106,58973.23097622395,Brazil,MT,Madeira
5103,5100,Amazon,San Julian 2,c5103,c5100,17434.328028479686,Bolivia,,Madeira
5134,5131,Amazon,Madre de Dios 3,c5134,c5131,36502.090675724074,Peru,,Madeira
5091,5087,Amazon,Madeira 3,c5091,c5087,18702.439935577324,Brazil,RO,Madeira
